backend,model_label,requested_model,condition,condition_label,prompt_language,cultural_identity,variant,x_survival_self_expression,y_traditional_secular,a008,a165,e018,e025,f063,f118,f120,g006,y002,y003
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,3,0.211364565219225,0.05982639905576376,2,2,1,1,10,5.0,3.0,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,4,0.9118455163449907,-1.0378070444501934,2,2,1,1,10,8.0,3.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,5,1.1042637897321799,0.3487440638475553,2,2,1,1,10,8.0,4.0,2,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,6,-0.09502816563206251,-1.0379670602497788,2,2,1,2,10,7.0,3.0,1,1,0
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,7,0.987746272277978,-0.773135308270486,2,2,1,1,10,7.0,3.0,1,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,8,0.9487193036625703,0.30174720936066823,2,2,1,1,10,8.0,3.0,2,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,9,0.7074550521019936,0.0427632046496616,2,2,1,1,10,8.0,3.0,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,0,1.4069698773146115,0.7233903862134682,2,2,1,1,7,7.0,5.0,2,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,1,1.1657056257540348,0.46440638150246155,2,2,1,1,7,7.0,5.0,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,2,1.9737178604068935,0.46056767230348916,2,2,1,1,8,7.0,6.0,2,2,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,3,1.1657056257540348,0.46440638150246155,2,2,1,1,7,7.0,5.0,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,4,0.7308036021187186,0.3684612656364213,2,2,1,1,8,5.0,5.0,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,5,1.9810133944487882,-0.6593602929222856,2,2,1,1,7,8.0,3.0,1,2,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,6,1.4069698773146115,0.7233903862134682,2,2,1,1,7,7.0,5.0,2,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,7,0.9206983999898228,0.6877689946639826,2,2,1,1,7,5.0,4.0,2,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,8,2.0877119023450104,0.5152036651513431,2,2,1,1,7,8.0,5.0,2,2,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,9,2.001992136854043,0.3032165149272235,2,2,1,1,7,8.0,6.0,2,2,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,0,0.7464820207174012,-1.0321193129814927,2,2,1,1,10,7.0,3.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,1,0.7464820207174012,-1.0321193129814927,2,2,1,1,10,7.0,3.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,2,1.1531097679055675,-0.7788230397391868,2,2,1,1,10,8.0,3.0,1,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,3,0.3115995815561039,-0.784670787007473,2,2,1,2,10,8.0,3.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,4,0.9118455163449907,-1.0378070444501934,2,2,1,1,10,8.0,3.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,5,1.0673900024146004,-0.9908101899633064,2,2,1,1,10,8.0,4.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,6,0.7464820207174012,-1.0321193129814927,2,2,1,1,10,7.0,3.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,7,0.26395351759624774,-1.5500873224035059,2,2,1,1,10,7.0,3.0,1,1,-1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,8,0.9118455163449907,-1.0378070444501934,2,2,1,1,10,8.0,3.0,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,9,0.22587981606513674,-0.9966579372315927,2,2,1,2,10,8.0,4.0,1,1,0
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,0,2.0938824014009234,1.580875901014546,2,2,2,2,7,10.0,7.0,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,1,1.8526181498403467,1.3218918963035393,2,2,2,2,7,10.0,7.0,2,2,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,2,2.9232221529453364,1.928306675267999,2,2,2,2,1,10.0,5.0,2,3,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,3,1.8526181498403467,1.3218918963035393,2,2,2,2,7,10.0,7.0,2,2,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,4,2.0938824014009234,1.580875901014546,2,2,2,2,7,10.0,7.0,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,5,2.296735833663321,1.056415175010796,2,2,2,2,10,10.0,7.0,2,3,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,6,2.0938824014009234,1.580875901014546,2,2,2,2,7,10.0,7.0,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,7,2.0938824014009234,1.580875901014546,2,2,2,2,7,10.0,7.0,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,8,1.5768659330381074,3.123561964236732,2,2,2,2,10,10.0,5.0,4,3,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,9,3.255289867489811,2.984877192091282,2,2,2,2,1,10.0,10.0,3,3,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,0,0.7993453166488733,1.320422590736984,2,2,2,2,10,10.0,4.0,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,1,0.8347448461984721,0.5905048583528741,2,2,1,2,10,10.0,4.0,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,2,1.5056678616708912,0.4350027232463366,2,2,1,2,10,10.0,5.0,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,3,0.4379361085682857,0.28452399915498067,2,2,1,2,10,10.0,3.0,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,4,0.9045695667771148,0.4255145626156414,2,2,1,2,10,10.0,6.0,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,5,3.2209655834401745,1.6358722049117485,2,2,1,2,1,10.0,10.0,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,6,0.5934805946378954,0.3315208536418675,2,2,1,2,10,10.0,4.0,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,7,0.5934805946378954,0.3315208536418675,2,2,1,2,10,10.0,4.0,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,8,0.7136255511579063,1.1084354405128642,2,2,2,2,10,10.0,5.0,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,9,2.0067265109087637,1.1409207233538745,2,2,2,2,10,10.0,10.0,2,2,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,0,2.1787498067870006,1.5302386331652498,2,2,2,1,7,10.0,7.0,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,1,1.301378304407301,0.7314954218135349,2,2,1,2,10,10.0,7.0,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,2,3.0982841602653166,3.2722528854512434,3,2,2,2,1,10.0,10.0,2,3,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,3,1.4743288396179768,1.6760543118045286,2,2,2,2,8,10.0,7.0,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,4,0.869170037227516,1.155432294999751,2,2,2,2,10,10.0,6.0,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,5,1.9990626950565327,4.291946163061134,2,2,2,2,1,10.0,5.0,4,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,6,1.3187843535483672,1.6290574573176415,2,2,2,2,8,10.0,6.0,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,7,1.7484431174602095,1.2145713175000976,2,2,2,2,8,10.0,7.0,2,2,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,8,1.9495948192200543,3.61266569852632,2,2,1,3,1,10.0,5.0,4,3,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,9,3.905335047536382,1.0827206986025786,2,2,2,2,1,10.0,10.0,1,3,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,0,1.301378304407301,0.7314954218135349,2,2,1,2,10,10.0,7.0,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,1,0.9902893322680817,0.637501712839761,2,2,1,2,10,10.0,5.0,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,2,1.8167568338101105,0.5289964322201105,2,2,1,2,10,10.0,7.0,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,3,0.6792003601288625,0.5435080038659873,2,2,1,2,10,10.0,3.0,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,4,1.194679796511079,-0.443068536260094,2,2,1,2,10,10.0,5.0,1,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,5,1.8647504518786084,-0.8611950894400473,2,2,1,1,10,10.0,7.0,1,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,6,0.5934805946378954,0.3315208536418675,2,2,1,2,10,10.0,4.0,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,7,0.4882563445096541,1.2264288817632103,2,2,2,2,10,10.0,2.0,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,8,1.301378304407301,0.7314954218135349,2,2,1,2,10,10.0,7.0,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,9,2.0211472980531076,-0.5515738168797445,2,2,1,2,10,10.0,7.0,1,2,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,0,2.0760108994080557,1.6508860817983595,2,2,2,1,5,10.0,5.0,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,1,1.763485802267644,1.328924345388034,2,2,2,1,8,10.0,5.0,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,2,,,2,2,2,1,8,10.0,,2,3,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,3,2.0760108994080557,1.6508860817983595,2,2,2,1,5,10.0,5.0,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,4,1.763485802267644,1.328924345388034,2,2,2,1,8,10.0,5.0,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,5,3.142167487763273,0.5159703702274013,2,2,1,1,5,10.0,5.0,2,3,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,6,1.763485802267644,1.328924345388034,2,2,2,1,8,10.0,5.0,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,7,1.9678762665106415,0.24835409628817884,2,2,2,1,8,10.0,5.0,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,8,,,2,2,2,1,5,10.0,,1,3,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,9,,,2,2,2,1,5,,,2,3,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,0,1.3492710154963918,0.12538145068603385,2,2,1,1,10,10.0,5.0,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,1,1.313871485946793,0.8552991830701435,2,2,2,1,10,10.0,5.0,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,2,1.7241266722007682,0.7636306710654047,2,2,3,1,10,10.0,5.0,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,3,1.3492710154963918,0.12538145068603385,2,2,1,1,10,10.0,5.0,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,4,1.5536614797393893,-0.9551887984138212,2,2,1,1,10,10.0,5.0,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,5,1.794925731299966,-0.6962047937028145,2,2,1,1,10,10.0,5.0,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,6,1.3492710154963918,0.12538145068603385,2,2,1,1,10,10.0,5.0,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,7,1.5536614797393893,-0.9551887984138212,2,2,1,1,10,10.0,5.0,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,8,1.794925731299966,-0.6962047937028145,2,2,1,1,10,10.0,5.0,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,9,1.899100763680103,-0.5888842148993728,2,2,1,1,9,10.0,5.0,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,0,1.763485802267644,1.328924345388034,2,2,2,1,8,10.0,5.0,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,1,2.55049326676339,1.439202940978411,2,2,3,1,10,10.0,5.0,2,3,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,2,,,2,2,2,1,10,10.0,,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,3,1.763485802267644,1.328924345388034,2,2,2,1,8,10.0,5.0,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,4,1.759526201750367,0.03371293868129521,2,2,2,1,10,10.0,5.0,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,5,,,2,2,2,1,10,10.0,,1,3,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,6,1.7988853318172429,0.5990066130039243,2,2,1,1,8,10.0,5.0,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,7,1.7988853318172429,0.5990066130039243,2,2,1,1,8,10.0,5.0,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,8,,,2,2,2,1,1,10.0,,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,9,2.3983873905273736,0.09649237454405102,2,2,2,2,8,10.0,5.0,1,3,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,0,1.12271905662135,0.24407749242687699,2,2,1,1,9,8.0,5.0,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,1,1.3492710154963918,0.12538145068603385,2,2,1,1,10,10.0,5.0,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,2,1.4828624206401915,0.504646666354398,2,2,3,1,10,10.0,5.0,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,3,1.3492710154963918,0.12538145068603385,2,2,1,1,10,10.0,5.0,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,4,1.5536614797393893,-0.9551887984138212,2,2,1,1,10,10.0,5.0,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,5,1.3492710154963918,0.12538145068603385,2,2,1,1,10,10.0,5.0,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,6,1.5536614797393893,-0.9551887984138212,2,2,1,1,10,10.0,5.0,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,7,1.5536614797393893,-0.9551887984138212,2,2,1,1,10,10.0,5.0,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,8,1.5536614797393893,-0.9551887984138212,2,2,1,1,10,10.0,5.0,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,9,1.5536614797393893,-0.9551887984138212,2,2,1,1,10,10.0,5.0,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,0,1.130306096204436,1.194324113886571,2,2,2,1,7,7.0,5.0,2,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,1,1.8307870473302017,0.09669067038061413,2,2,2,1,7,10.0,5.0,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,2,3.382457400803295,2.069799543969394,2,2,3,1,5,10.0,7.0,2,3,2
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,3,1.0615305933738977,0.35708580269901985,2,2,1,1,8,7.0,5.0,2,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,4,0.9352136508357348,-0.36871534162337344,2,2,1,2,7,8.0,5.0,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,5,3.7991575303238436,2.499081859183162,2,2,3,1,1,10.0,7.0,2,3,2
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,6,1.370096089997032,-0.6161638675973935,2,2,1,1,7,7.0,5.0,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,7,1.3310691213816244,0.45871865003376083,2,2,1,1,7,8.0,5.0,2,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,8,3.1630121467379326,0.11781869378403476,2,2,1,2,1,10.0,5.0,1,3,2
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,9,2.612267264236713,3.195041450587101,2,2,2,1,5,10.0,6.0,4,3,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,0,-0.5016559128202288,-1.2912633334920847,2,2,1,2,10,6.0,3.0,1,1,-1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,1,0.5909375346477915,-1.0791161674683798,2,2,1,1,10,7.0,2.0,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,2,0.9534155449505022,-0.7020525409711007,2,2,1,2,10,10.0,5.0,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,3,-0.4918369032622488,-1.3439479194476724,2,2,1,2,10,7.0,2.0,1,1,-1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,4,0.10840903152663803,-1.597084176890393,2,2,1,1,10,7.0,2.0,1,1,-1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,5,0.7270719997816955,0.7107860693102319,2,2,3,2,10,10.0,4.0,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,6,0.26395351759624774,-1.5500873224035059,2,2,1,1,10,7.0,3.0,1,1,-1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,7,-0.6473813893318585,-1.390944773934559,2,2,1,2,10,7.0,1.0,1,1,-1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,8,0.6423265728112829,-0.7960462499448744,2,2,1,2,10,10.0,3.0,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,9,0.6423265728112829,-0.7960462499448744,2,2,1,2,10,10.0,3.0,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,0,1.5576210802566661,0.3400226082929177,2,2,1,1,8,10.0,5.0,2,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,1,1.9030603641973802,0.706327191807366,2,2,1,1,7,10.0,5.0,2,1,2
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,2,2.30065730141381,0.5101226229591154,2,2,1,2,5,10.0,5.0,2,3,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,3,1.7620115444996636,-0.7405476408069374,2,2,1,1,8,10.0,5.0,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,4,1.7155549584117649,0.09353435775711583,2,2,1,2,5,10.0,5.0,1,1,2
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,5,3.355849797742547,0.8645834437592154,2,1,1,2,1,10.0,5.0,2,2,2
