backend,model_label,requested_model,condition,condition_label,prompt_language,cultural_identity,variant,a008,a165,e018,e025,f063,f118,f120,g006,y002,y003
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_brazil,Prompt Brasil,pt-BR,Brazil,9,2,2,1,1,10,8,3,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,0,2,2,1,1,7,7,5,2,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,1,2,2,1,1,7,7,5,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,2,2,2,1,1,8,7,6,2,2,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,3,2,2,1,1,7,7,5,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,4,2,2,1,1,8,5,5,2,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,5,2,2,1,1,7,8,3,1,2,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,6,2,2,1,1,7,7,5,2,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,7,2,2,1,1,7,5,4,2,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,8,2,2,1,1,7,8,5,2,2,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_default,Português,pt-BR,none,9,2,2,1,1,7,8,6,2,2,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,0,2,2,1,1,10,7,3,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,1,2,2,1,1,10,7,3,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,2,2,2,1,1,10,8,3,1,1,2
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,3,2,2,1,2,10,8,3,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,4,2,2,1,1,10,8,3,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,5,2,2,1,1,10,8,4,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,6,2,2,1,1,10,7,3,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,7,2,2,1,1,10,7,3,1,1,-1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,8,2,2,1,1,10,8,3,1,1,1
openrouter,Claude Sonnet 5,anthropic/claude-sonnet-5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,9,2,2,1,2,10,8,4,1,1,0
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,0,2,2,2,2,7,10,7,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,1,2,2,2,2,7,10,7,2,2,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,2,2,2,2,2,1,10,5,2,3,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,3,2,2,2,2,7,10,7,2,2,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,4,2,2,2,2,7,10,7,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,5,2,2,2,2,10,10,7,2,3,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,6,2,2,2,2,7,10,7,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,7,2,2,2,2,7,10,7,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,8,2,2,2,2,10,10,5,4,3,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,en_default,Inglês,en,none,9,2,2,2,2,1,10,10,3,3,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,0,2,2,2,2,10,10,4,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,1,2,2,1,2,10,10,4,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,2,2,2,1,2,10,10,5,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,3,2,2,1,2,10,10,3,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,4,2,2,1,2,10,10,6,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,5,2,2,1,2,1,10,10,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,6,2,2,1,2,10,10,4,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,7,2,2,1,2,10,10,4,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,8,2,2,2,2,10,10,5,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_brazil,Prompt Brasil,pt-BR,Brazil,9,2,2,2,2,10,10,10,2,2,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,0,2,2,2,1,7,10,7,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,1,2,2,1,2,10,10,7,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,2,3,2,2,2,1,10,10,2,3,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,3,2,2,2,2,8,10,7,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,4,2,2,2,2,10,10,6,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,5,2,2,2,2,1,10,5,4,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,6,2,2,2,2,8,10,6,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,7,2,2,2,2,8,10,7,2,2,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,8,2,2,1,3,1,10,5,4,3,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_default,Português,pt-BR,none,9,2,2,2,2,1,10,10,1,3,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,0,2,2,1,2,10,10,7,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,1,2,2,1,2,10,10,5,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,2,2,2,1,2,10,10,7,2,2,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,3,2,2,1,2,10,10,3,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,4,2,2,1,2,10,10,5,1,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,5,2,2,1,1,10,10,7,1,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,6,2,2,1,2,10,10,4,2,1,1
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,7,2,2,2,2,10,10,2,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,8,2,2,1,2,10,10,7,2,1,2
openrouter,GPT-5.6 Terra,openai/gpt-5.6-terra,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,9,2,2,1,2,10,10,7,1,2,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,0,2,2,2,1,5,10,5,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,1,2,2,2,1,8,10,5,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,2,2,2,2,1,8,10,,2,3,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,3,2,2,2,1,5,10,5,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,4,2,2,2,1,8,10,5,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,5,2,2,1,1,5,10,5,2,3,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,6,2,2,2,1,8,10,5,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,7,2,2,2,1,8,10,5,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,8,2,2,2,1,5,10,,1,3,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,en_default,Inglês,en,none,9,2,2,2,1,5,,,2,3,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,0,2,2,1,1,10,10,5,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,1,2,2,2,1,10,10,5,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,2,2,2,3,1,10,10,5,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,3,2,2,1,1,10,10,5,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,4,2,2,1,1,10,10,5,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,5,2,2,1,1,10,10,5,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,6,2,2,1,1,10,10,5,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,7,2,2,1,1,10,10,5,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,8,2,2,1,1,10,10,5,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_brazil,Prompt Brasil,pt-BR,Brazil,9,2,2,1,1,9,10,5,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,0,2,2,2,1,8,10,5,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,1,2,2,3,1,10,10,5,2,3,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,2,2,2,2,1,10,10,,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,3,2,2,2,1,8,10,5,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,4,2,2,2,1,10,10,5,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,5,2,2,2,1,10,10,,1,3,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,6,2,2,1,1,8,10,5,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,7,2,2,1,1,8,10,5,2,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,8,2,2,2,1,1,10,,1,1,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_default,Português,pt-BR,none,9,2,2,2,2,8,10,5,1,3,2
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,0,2,2,1,1,9,8,5,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,1,2,2,1,1,10,10,5,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,2,2,2,3,1,10,10,5,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,3,2,2,1,1,10,10,5,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,4,2,2,1,1,10,10,5,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,5,2,2,1,1,10,10,5,2,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,6,2,2,1,1,10,10,5,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,7,2,2,1,1,10,10,5,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,8,2,2,1,1,10,10,5,1,1,1
openrouter,Gemini 3.5 Flash,google/gemini-3.5-flash,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,9,2,2,1,1,10,10,5,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,0,2,2,2,1,7,7,5,2,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,1,2,2,2,1,7,10,5,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,2,2,2,3,1,5,10,7,2,3,2
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,3,2,2,1,1,8,7,5,2,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,4,2,2,1,2,7,8,5,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,5,2,2,3,1,1,10,7,2,3,2
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,6,2,2,1,1,7,7,5,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,7,2,2,1,1,7,8,5,2,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,8,2,2,1,2,1,10,5,1,3,2
openrouter,Grok 4.5,x-ai/grok-4.5,en_default,Inglês,en,none,9,2,2,2,1,5,10,6,4,3,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,0,2,2,1,2,10,6,3,1,1,-1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,1,2,2,1,1,10,7,2,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,2,2,2,1,2,10,10,5,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,3,2,2,1,2,10,7,2,1,1,-1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,4,2,2,1,1,10,7,2,1,1,-1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,5,2,2,3,2,10,10,4,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,6,2,2,1,1,10,7,3,1,1,-1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,7,2,2,1,2,10,7,1,1,1,-1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,8,2,2,1,2,10,10,3,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_brazil,Prompt Brasil,pt-BR,Brazil,9,2,2,1,2,10,10,3,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,0,2,2,1,1,8,10,5,2,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,1,2,2,1,1,7,10,5,2,1,2
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,2,2,2,1,2,5,10,5,2,3,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,3,2,2,1,1,8,10,5,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,4,2,2,1,2,5,10,5,1,1,2
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,5,2,1,1,2,1,10,5,2,2,2
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,6,2,2,1,2,7,10,5,2,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,7,2,2,1,2,7,10,5,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,8,1,1,1,2,1,10,7,2,3,2
openrouter,Grok 4.5,x-ai/grok-4.5,pt_default,Português,pt-BR,none,9,2,2,3,2,1,10,5,4,3,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,0,2,2,1,1,8,6,2,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,1,2,2,1,1,9,4,2,1,1,2
openrouter,Grok 4.5,x-ai/grok-4.5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,2,2,2,1,2,10,10,3,1,1,2
openrouter,Grok 4.5,x-ai/grok-4.5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,3,2,2,1,1,9,7,3,2,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,4,2,2,1,2,9,7,3,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,5,2,2,1,2,8,10,2,1,1,2
openrouter,Grok 4.5,x-ai/grok-4.5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,6,2,2,1,2,9,5,3,1,1,1
openrouter,Grok 4.5,x-ai/grok-4.5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,7,2,2,1,2,10,4,2,1,1,2
openrouter,Grok 4.5,x-ai/grok-4.5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,8,2,2,1,2,10,10,3,1,1,2
openrouter,Grok 4.5,x-ai/grok-4.5,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,9,2,2,1,2,10,10,3,1,1,2
maritaca,Sabiá-4,sabia-4,en_default,Inglês,en,none,0,2,2,3,2,7,10,4,1,1,1
maritaca,Sabiá-4,sabia-4,en_default,Inglês,en,none,1,2,2,3,2,9,10,5,1,1,1
maritaca,Sabiá-4,sabia-4,en_default,Inglês,en,none,2,2,2,3,2,9,10,5,1,1,1
maritaca,Sabiá-4,sabia-4,en_default,Inglês,en,none,3,2,2,3,2,8,10,4,1,1,1
maritaca,Sabiá-4,sabia-4,en_default,Inglês,en,none,4,2,2,3,2,7,10,4,1,1,1
maritaca,Sabiá-4,sabia-4,en_default,Inglês,en,none,5,2,2,3,2,9,10,5,1,1,2
maritaca,Sabiá-4,sabia-4,en_default,Inglês,en,none,6,2,2,3,2,7,10,4,1,1,1
maritaca,Sabiá-4,sabia-4,en_default,Inglês,en,none,7,2,2,2,2,9,10,4,1,1,1
maritaca,Sabiá-4,sabia-4,en_default,Inglês,en,none,8,2,2,3,2,9,10,5,1,2,1
maritaca,Sabiá-4,sabia-4,en_default,Inglês,en,none,9,2,2,3,2,9,10,5,1,1,1
maritaca,Sabiá-4,sabia-4,pt_brazil,Prompt Brasil,pt-BR,Brazil,0,2,2,1,2,10,10,4,1,2,1
maritaca,Sabiá-4,sabia-4,pt_brazil,Prompt Brasil,pt-BR,Brazil,1,1,2,2,2,10,10,4,1,1,1
maritaca,Sabiá-4,sabia-4,pt_brazil,Prompt Brasil,pt-BR,Brazil,2,1,2,2,2,10,10,4,1,2,1
maritaca,Sabiá-4,sabia-4,pt_brazil,Prompt Brasil,pt-BR,Brazil,3,2,2,1,2,10,10,4,1,2,1
maritaca,Sabiá-4,sabia-4,pt_brazil,Prompt Brasil,pt-BR,Brazil,4,1,2,1,2,10,10,4,1,1,1
maritaca,Sabiá-4,sabia-4,pt_brazil,Prompt Brasil,pt-BR,Brazil,5,1,2,1,2,9,10,4,1,1,1
maritaca,Sabiá-4,sabia-4,pt_brazil,Prompt Brasil,pt-BR,Brazil,6,2,2,1,2,10,10,3,2,1,1
maritaca,Sabiá-4,sabia-4,pt_brazil,Prompt Brasil,pt-BR,Brazil,7,2,2,1,2,10,10,3,2,1,1
maritaca,Sabiá-4,sabia-4,pt_brazil,Prompt Brasil,pt-BR,Brazil,8,2,2,2,2,10,10,4,1,2,1
maritaca,Sabiá-4,sabia-4,pt_brazil,Prompt Brasil,pt-BR,Brazil,9,1,2,1,2,7,10,4,2,1,1
maritaca,Sabiá-4,sabia-4,pt_default,Português,pt-BR,none,0,2,2,2,2,9,10,4,1,2,1
maritaca,Sabiá-4,sabia-4,pt_default,Português,pt-BR,none,1,1,2,2,2,10,10,4,1,1,1
maritaca,Sabiá-4,sabia-4,pt_default,Português,pt-BR,none,2,1,2,2,2,10,10,4,2,2,1
maritaca,Sabiá-4,sabia-4,pt_default,Português,pt-BR,none,3,1,2,1,2,10,10,4,2,2,1
maritaca,Sabiá-4,sabia-4,pt_default,Português,pt-BR,none,4,1,2,1,2,10,10,4,1,1,1
maritaca,Sabiá-4,sabia-4,pt_default,Português,pt-BR,none,5,2,2,2,2,7,10,4,1,2,2
maritaca,Sabiá-4,sabia-4,pt_default,Português,pt-BR,none,6,2,2,1,2,9,10,4,1,1,2
maritaca,Sabiá-4,sabia-4,pt_default,Português,pt-BR,none,7,1,2,2,2,9,10,3,1,1,1
maritaca,Sabiá-4,sabia-4,pt_default,Português,pt-BR,none,8,2,2,2,2,10,10,4,1,2,2
maritaca,Sabiá-4,sabia-4,pt_default,Português,pt-BR,none,9,1,2,1,2,7,10,4,2,2,2
maritaca,Sabiá-4,sabia-4,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,0,1,2,1,2,9,10,3,1,1,1
maritaca,Sabiá-4,sabia-4,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,1,1,2,1,2,10,10,4,1,2,1
maritaca,Sabiá-4,sabia-4,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,2,1,2,1,2,10,10,4,1,2,1
maritaca,Sabiá-4,sabia-4,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,3,1,2,1,2,9,10,4,1,2,1
maritaca,Sabiá-4,sabia-4,pt_rs,Prompt RS,pt-BR,Rio Grande do Sul,4,1,2,1,2,9,10,3,1,1,1
